Airline,Flight_Number,Route,Departure_Airport,Arrival_Airport,Departure_Time,Arrival_Time,Delay_Minutes,Cancelled,Cancellation_Reason,Ticket_Price,Passenger_Count,Aircraft_Type,Distance_km,On_Time_Percent,Class,Loyalty_Member,Baggage_Allowance,Fuel_Surcharge,Gate,Terminal,Crew_Size
Emirates,2022,FRA-ATL,NBO,LHR,2020-01-21 04:34,2020-01-21 06:32,63,No,,245.13,224,B777,11654,,Economy,No,23kg,23.53,G17,T1,5
South African Airways,331,DOH-IST,DOH,NBO,2021-05-11 01:03,2021-05-11 10:33,4,,,831.22,250,A320,5301,100,Economy,No,1pc,26.75,H4,T3,8
,8715,LHR-ORD,SIN,LOS,2023-08-06 00:24,2023-08-06 09:19,-8,No,,601.02,,B737,6292,100,First,Yes,23kg,45.56,E9,T2,19
Emirates,7229,ORD-SIN,FRA,CDG,2022-11-23 02:55,2022-11-23 07:04,41,No,,487.34,246,A320,777,81.99,Business,No,1pc,32.77,D21,T3,12
Lufthansa,7533,LAX-CDG,LOS,LOS,2022-05-13 07:35,,40,No,,439.2,56,B737,5589,72.52,Economy,Yes,No,42.34,U22,T1,17
Air France,8196,SIN-IST,LOS,,2021-04-28 01:23,2021-04-28 11:49,-6,No,,409.95,86,A320,11117,,Business,Yes,1pc,32.85,U42,T2,10
United Airlines,2041,JFK-AMS,SIN,LHR,2021-10-30 22:57,2021-10-31 04:00,-64,No,,411,136,CRJ900,12409,100,Business,No,20kg,28.2,J12,T3,4
Kenya Airways,3777,LAX-IST,FRA,LHR,2022-11-11 18:18,2022-11-12 03:42,-9,No,,382.66,241,A380,6518,100,Business,,23kg,19.57,M23,T3,10
American Airlines,3428,LOS-FRA,LOS,NBO,2020-11-13 13:21,2020-11-13 16:31,42,No,,358.02,89,CRJ900,3673,100,Business,Yes,23kg,45.94,Q2,T3,4
United Airlines,3221,SIN-ATL,NBO,CDG,2020-10-15 03:37,2020-10-15 12:41,-16,No,,68.37,-,A320,12736,79.1,Business,No,23kg,39.91,V48,T3,10
United Airlines,4461,LAX-AMS,ATL,FRA,2023-03-26 09:25,2023-03-26 21:11,14,-,,276.17,165,B777,,100,Business,Yes,20kg,40.82,G36,,9
Ethiopian Airlines,4817,DXB-JFK,LOS,SIN,2020-10-27 11:41,2020-10-27 13:01,-,No,,301.94,174,CRJ900,8103,100,Business,Yes,2pc,39.25,J42,T1,7
British Airways,8196,DXB-LOS,ORD,DXB,2023-01-20 07:26,2023-01-20 11:12,,No,,200.21,238.0,B777,861,85.75,First,No,No,22.9,J40,T3,4
American Airlines,6359,NBO-JFK,IST,LOS,2022-12-04 15:11,2022-12-04 20:44,-62,No,,238.78,32,CRJ900,7202,88.65,First,-,1pc,32.65,T37,T1,7
KLM,2233,LAX-LHR,ATL,AMS,2025-02-18 17:04,2025-02-19 00:31,,No,,410.15,96,CRJ900,10085,85.13,Economy,No,1pc,40.87,Q47,T3,18
Delta Air Lines,7166,JFK-LOS,LOS,JFK,2022-04-01 20:06,2022-04-02 07:06,41,Yes,,503.52,207,B777,5686,89.9,First,No,23kg,39.44,B36,T3,10
KLM,3485,FRA-ATL,SIN,JFK,2020-05-14 23:53,2020-05-15 06:08,-79,No,,409.85,144,A350,10829,95.35,Business,No,23kg,31.57,J46,T3,17
Lufthansa,9931,LOS-JFK,SIN,DXB,2023-11-28 09:12,2023-11-28 10:25,25.0,No,,498.49,295,A320,1935,100,Economy,No,,49.75,A5,T4,12
British Airways,3631,DXB-LHR,FRA,ORD,2024-07-24 00:03,2024-07-24 05:04,-32,No,,502.02,212,A350,14171,99.51,Business,Yes,23kg,35.33,I22,T2,16
Lufthansa,4736,ATL-NBO,SIN,JFK,2021-01-22 19:42,2021-01-23 02:27,39,No,,290.06,244,CRJ900,1275,94.34,Economy,No,1pc,43.22,X23,,17
United Airlines,3202,IST-ATL,AMS,IST,2023-03-22 01:34,2023-03-22 11:58,43,No,,455.06,132,,8761,100,Business,No,2pc,32,V50,T1,14
United Airlines,,LOS-NBO,LOS,CDG,2020-09-01 19:46,2020-09-02 02:25,8,No,,0.73,186,A380,1911,100,First,Yes,No,26.28,N37,T3,19
Turkish Airlines,3055,NBO-SIN,FRA,LHR,2024-09-11 03:07,2024-09-11 05:38,8,No,,273.13,48,B777,9875,95.58,Economy,Yes,23kg,39.69,N50,T1,9
Singapore Airlines,6793,LAX-NBO,DXB,SIN,2022-06-29 20:57,2022-06-30 04:03,-17,No,,249.63,158,CRJ900,6653,100,First,Yes,1pc,37.34,T47,T4,5
Lufthansa,2491,SIN-ATL,LOS,FRA,2025-05-07 02:46,2025-05-07 11:20,-38,No,,656.27,161,CRJ900,10822,95.14,Business,Yes,1pc,33.46,Z5,T2,13
Delta Air Lines,571,LOS-LHR,LOS,LHR,2025-04-05 16:10,2025-04-06 00:17,82,No,,417.42,117,A350,2176,79.97,Business,No,20kg,21.54,H26,T1,17
Qatar Airways,4854,FRA-LOS,LAX,-,2023-01-28 13:27,2023-01-28 22:55,-19,No,,83.11,231,B737,3441,78.13,Economy,No,2pc,40.11,J42,,8
Air France,4389,FRA-AMS,IST,AMS,2024-11-28 18:29,2024-11-28 20:03,,No,,468.92,182,CRJ900,8962,67.33,Business,No,No,22.07,V4,,16
Ethiopian Airlines,3958,JFK-DXB,JFK,LAX,2021-08-20 10:04,2021-08-20 14:29,77,,,531.96,90,A320,10766,100,First,Yes,2pc,37.77,F13,,6
United Airlines,7488,CDG-ORD,DXB,IST,2020-08-04 02:24,2020-08-04 04:44,-19,No,,332.07,181,A380,7423,96.31,First,No,No,19.03,A17,T1,11
Delta Air Lines,4168,LAX-DXB,LHR,AMS,2020-05-22 08:54,20200-5-22-19:15,36,No,,488.05,227,B777,14216,71.59,Economy,No,No,21.53,C45,T2,14
United Airlines,6156,FRA-IST,ATL,AMS,2025-08-16 11:22,2025-08-16 18:49,-30,No,,149.14,153,CRJ900,14530,100,Economy,Yes,23kg,32.92,P47,T3,16
Qatar Airways,9650,CDG-ORD,ORD,IST,2021-12-09 01:19,2021-12-09 02:20,35,No,,189.86,152,A380,6163,100,First,Yes,2pc,35.79,M43,T3,4
Turkish Airlines,7606,SIN-AMS,CDG,AMS,2022-06-18 02:19,2022-06-18 09:48,1,,,114.27,265,A320,10930,99.24,Business,Yes,2pc,32.17,Z50,T1,20
Delta Air Lines,1504,DOH-FRA,LAX,FRA,2020-09-04 21:43,2020-09-05 08:08,2,No,,379.81,272,CRJ900,10306,59.34,First,No,2pc,24.73,A25,T2,19
South African Airways,269,AMS-IST,ATL,LHR,2021-12-24 06:08,2021-12-24 08:53,39,No,,656.43,74,,5905,100,Business,No,23kg,41.13,Q18,T2,16
,7782,LOS-FRA,FRA,LAX,2020-11-09 19:12,2020-11-10 04:08,-3,No,,124.71,165,B777,5536,73.74,Economy,,20kg,31.39,A28,T2,4
Turkish Airlines,2282,CDG-SIN,ORD,JFK,2023-03-27 00:15,2023-03-27 07:56,-42,No,,179.26,71,A380,9438,90.42,First,-,1pc,31.93,F50,T3,4
Singapore Airlines,5396,ATL-CDG,ORD,LOS,2022-05-13 15:12,2022-05-14 01:27,45,No,,367.72,214,B737,4777,100,First,No,23kg,28.42,L31,T1,
Kenya Airways,,ORD-DOH,CDG,SIN,2023-11-09 16:43,2023-11-09 20:24,-30,No,,251.54,293,CRJ900,2879,48,Economy,Yes,No,22.77,Y49,T2,13
Lufthansa,3576,LOS-CDG,ORD,FRA,2025-05-29 00:04,2025-05-29 04:25,35,No,,240.16,24,A350,3119,87.08,Economy,No,2pc,41.27,B30,T2,20
Air France,6383,DOH-JFK,JFK,JFK,2023-02-07 11:51,2023-02-07 17:20,53,No,,265.71,57,CRJ900,9618,84.36,Economy,Yes,20kg,23.57,W2,,-
South African Airways,7035,DXB-JFK,CDG,ORD,2021-05-20 08:22,2021-05-20 13:52,0,No,,612.96,266,B737,8793,81.98,Economy,No,No,46.97,S49,T2,15
Turkish Airlines,9884,LAX-LOS,NBO,CDG,2023-02-24 02:41,2023-02-24 11:16,62,No,,573.23,187,B777,,83.15,Economy,Yes,No,21.75,R22,T4,19
British Airways,4298,CDG-AMS,DXB,IST,2023-01-08 18:54,2023-01-09 03:35,34,No,,354.69,53,A320,,57.72,First,NO,No,33.23,H46,T3,11
Qatar Airways,1296,LOS-FRA,SIN,LOS,2021-10-12 21:58,2021-10-13 03:09,-12,No,,680.9,52,B737,3328,63.21,First,Yes,1pc,30.7,T41,,4
American Airlines,1661,DOH-LOS,JFK,DOH,2025-09-13 03:52,2025-09-13 09:47,71,No,,451.81,57,B777,4232,100,Business,Yes,23kg,28.87,E13,T2,6
South African Airways,9225,DXB-ATL,DXB,DXB,2022-04-09 11:18,2022-04-09 17:55,-30,No,,580.78,161,CRJ900,14691,59.72,Business,Yes,2pc,36.82,T32,,9
Ethiopian Airlines,1062,IST-ATL,FRA,DXB,2025-10-24 17:00,,0,No,,177.89,221,A380,10811,100,First,Yes,20kg,37.9,U30,T3,14
Qatar Airways,953,ATL-CDG,IST,ORD,2025-07-06 09:01,2025-07-06 13:37,6,No,,219.26,243,A380,2686,85.17,Economy,No,2pc,35.36,L9,T2,16
British Airways,5553,SIN-LAX,ATL,LOS,2020-08-09 20:09,2020-08-10 00:16,,No,,217.12,127,,4931,100,Business,Yes,No,19.36,H12,,8
Emirates,3947,ORD-DOH,SIN,FRA,2025-03-07 12:05,2025-03-07 19:24,39,,,332.66,118,A320,1454,74.45,Economy,No,2pc,18.29,B50,,16
United Airlines,7815,LOS-ORD,LAX,LOS,2025-05-26 19:24,2025-05-27 04:36,59,No,,361.98,278,A350,10292,94.61,Business,No,1pc,17.69,U21,,4
British Airways,5904,ATL-LAX,NBO,CDG,2021-06-15 17:01,2021-06-15 18:41,57,No,,414.84,176,A320,11140,100,First,,2pc,27.56,P20,T1,19
American Airlines,9901,AMS-LOS,LOS,LHR,2024-07-17 12:21,2024-07-17 15:57,23,NO,,744.62,38,A350,10268,72.17,-,Yes,1pc,51.15,Q26,T1,16
South African Airways,845,NBO-LOS,IST,IST,2022-01-30 14:25,2022-01-30 15:39,3,No,,494.26,163,A350,7740,68.46,First,Yes,1pc,29.51,O21,,13
British Airways,187,NBO-ORD,IST,LOS,2021-05-22 16:10,2021-05-22 18:14,-58,No,,247.04,235,B777,14079,67.95,First,No,1pc,51.01,C17,T1,18
United Airlines,4255,DXB-DOH,SIN,-,2023-12-07 04:37,2023-12-07 14:17,-,No,,349.35,219,A380,14788,100,Business,Yes,23kg,29.76,,T2,14
KLM,8366,-,LAX,,2023-03-24 22:14,2023-03-25 04:57,85,No,,650.99,146,CRJ900,7769,66.4,First,No,No,31.6,D47,,20
British Airways,,SIN-ATL,DOH,LAX,2022-04-18 16:46,2022-04-18 19:54,-58,No,,506.38,215,A320,11976,94.51,First,Yes,23kg,35.96,H23,T2,
British Airways,5056,SIN-AMS,IST,-,2025-06-11 09:50,2025-06-11 21:37,-16,No,,648.36,253,B737,1627,59.23,Economy,Yes,No,27.09,H27,,7
KLM,6566,LAX-FRA,CDG,DXB,2024-09-26 09:10,2024-09-26 18:01,60,No,,523.46,18,CRJ900,1526,80.63,First,No,1pc,32.27,F2,T1,6
American Airlines,6176,DXB-JFK,FRA,LAX,2021-11-13 07:41,2021-11-13 09:43,23,No,,207.67,188,CRJ900,8716,86.23,Business,No,20kg,12.97,Y44,T4,4
Qatar Airways,2266,LOS-NBO,AMS,FRA,2025-10-28 00:32,2025-10-28 03:50,52,No,,210.59,30,B777,295,89.87,Business,Yes,23kg,21.11,Y37,T2,8
Emirates,9267,SIN-DXB,LAX,CDG,2022-10-04 12:16,2022-10-04 21:34,36,No,,269.6,211,B737,14302,90.2,Business,No,1pc,13.18,J31,T4,14
Emirates,773,NBO-LOS,JFK,AMS,2020-06-22 19:02,2020-06-23 05:54,73,No,,137.34,272,CRJ900,1968,,Economy,No,2pc,37.25,Y35,T1,6
Kenya Airways,9610,JFK-DXB,AMS,,2021-12-12 15:03,2021-12-12 22:34,26,No,,409.04,4,A320,11895,,First,No,2pc,16.37,T18,T3,18
Qatar Airways,3038,CDG-DOH,NBO,SIN,2020-04-09 17:34,2020-04-10 01:32,41,No,,412.48,278,A350,11563,95.44,Business,Yes,No,44.12,Q6,T1,15
Qatar Airways,4364,FRA-LOS,AMS,DOH,2022-09-07 01:53,2022-09-07 07:41,,No,,617.76,,B737,6383,72.14,First,Yes,2pc,33.56,D2,T2,12
Qatar Airways,2883,DXB-AMS,NBO,LAX,2023-05-31 09:00,2023-05-31 16:18,-13,No,,2.05,258,A320,7433,100,Business,Yes,1pc,39.59,,,16
Lufthansa,8353,LAX-ATL,FRA,LOS,2022-04-11 20:12,2022-04-12 05:21,38,No,,161.17,,B777,11621,69.89,First,No,1pc,23.53,M13,T3,15
Emirates,8174,NBO-LOS,NBO,LHR,2020-07-24 15:22,2020-07-24 20:12,0,No,,511.12,34,CRJ900,13041,87.85,First,,1pc,18.77,T36,T2,14
South African Airways,,LHR-AMS,SIN,NBO,-,2021-10-17 13:41,-3,No,,386.69,298,A350,7749,78.28,First,Yes,1pc,26.52,C1,T4,10
Turkish Airlines,7769,JFK-LAX,NBO,DOH,2024-10-28 04:00,2024-10-28 05:27,50,No,,358.96,114,B777,5025,77.5,Economy,No,20kg,40.64,D50,T3,5
British Airways,2216,CDG-LOS,ORD,LHR,2022-09-04 16:05,2022-09-04 19:19,51,No,,602.77,132,B737,13600,76.07,Economy,No,2pc,51.15,U46,T2,18
Air France,1568,DOH-IST,DXB,AMS,2021-10-22 14:35,2021-10-22 18:55,82,No,,148.01,222,A350,3373,89.66,Business,Yes,2pc,35.08,L29,T3,
British Airways,5298,DXB-FRA,NBO,AMS,2025-07-29 09:02,2025-07-29 10:34,79,No,,204.25,165,B777,6409,89.21,First,No,No,16.84,Z29,T1,14
Singapore Airlines,8790,DXB-LOS,LAX,ORD,2024-03-31 01:22,2024-03-31 03:09,51,-,,180.7,30,A380,1045,76.59,First,Yes,No,20.28,Y50,,11
South African Airways,7193,DOH-ATL,FRA,DOH,2023-05-14 04:27,2023-05-14 13:49,-53,,,52.58,90,A380,13795,100,First,Yes,No,15.12,-,T2,6
Kenya Airways,2423,LHR-ATL,JFK,,2025-06-20 06:30,2025-06-20 14:16,88,No,,376.56,248,A350,4525,100,Business,Yes,1pc,28.71,R9,,11
Delta Air Lines,4366,LOS-SIN,AMS,LAX,2023-11-26 14:28,2023-11-27 01:01,51,No,,245.43,163,CRJ900,9137,96.97,Economy,,23kg,27.23,B29,T1,11
American Airlines,2014,NBO-CDG,LAX,LOS,2021-03-19 21:16,2021-03-19 23:54,,No,,203.42,260,A350,10419,85.68,Business,Yes,1pc,28.63,,T3,19
Kenya Airways,5232,ORD-JFK,ATL,ATL,2022-04-02 22:53,2022-04-03 08:59,44,No,,167.31,219,B737,241,61.19,First,Yes,23kg,19.27,M22,T1,16
Qatar Airways,823,LHR-ATL,LHR,ORD,2021-03-09 19:35,2021-03-10 06:47,-26,No,,346.45,26,B737,14389,89.28,Business,Yes,23kg,18.26,Q29,T4,15
Air France,2195,,CDG,DOH,2022-02-05 05:52,2022-02-05 14:33,39,No,,190.29,127,A320,9917,60,Economy,YES,No,30.94,N8,T4,5
Emirates,8279,ATL-FRA,ORD,FRA,2024-10-10 02:38,2024-10-10 14:20,-37,No,,394.31,153,B777,8715,82.27,Business,Yes,23kg,34.84,Q28,T1,8
Kenya Airways,4703,NBO-FRA,,ATL,2024-08-01 13:03,2024-08-01 14:07,-17,No,,441.84,176,,5636,96.8,Business,No,2pc,18.15,A38,T4,9
Turkish Airlines,6007,ATL-JFK,ORD,DOH,2022-03-27 07:26,2022-03-27 12:03,43,No,,291.08,192,B737,10089,72.79,Economy,Yes,No,34.74,I13,T2,14
Turkish Airlines,7146,LAX-SIN,NBO,LOS,2024-12-21 05:53,2024-12-21 15:15,57,No,,277.51,-,B777,2743,93.64,First,Yes,23kg,39.47,D15,T1,17
Emirates,4735,LHR-AMS,FRA,LOS,,2023-08-24 09:57,28,No,,387.1,123,B737,7384,86.23,Business,No,20kg,6.69,N36,T2,4
Delta Air Lines,4412,ORD-CDG,DOH,LAX,2024-12-17 23:22,2024-12-18 06:54,3,No,,344.23,105,CRJ900,1827,100,Economy,No,No,45.76,-,T3,13
Kenya Airways,4421,ATL-LOS,FRA,LOS,2023-05-25 21:27,2023-05-26 01:53,-69,No,,616.03,276,A320,,100,Economy,No,20kg,37.02,T23,T2,4
Qatar Airways,8570,LOS-AMS,LHR,JFK,2023-01-29 16:24,2023-01-29 17:38,6,No,,413.65,295,A350,3859,81.7,Business,No,20kg,39.56,G13,T4,19
KLM,5228,AMS-LHR,ATL,IST,2021-11-12 09:44,2021-11-12 19:57,36.0,No,,569.12,77,CRJ900,11414,,Economy,Yes,20kg,19.79,X16,,12
South African Airways,7239,ORD-AMS,CDG,ORD,2021-03-05 18:45,2021-03-06 03:25,2,No,,472.1,125,A380,7009,60.81,Business,No,No,37.87,M21,T4,5
American Airlines,2803,ATL-NBO,ORD,FRA,2024-05-02 01:02,2024-05-02 11:36,14,No,,86.32,153,B777,9595,100,Business,Yes,2pc,39.02,B20,T2,6
KLM,5269,JFK-AMS,LOS,LOS,2024-03-13 07:12,2024-03-13 12:12,7,No,,238.35,184,B777,12810,68.04,Economy,No,23kg,23.48,-,T2,6
Lufthansa,8149,DXB-NBO,LOS,DOH,2020-10-09 10:41,2020-10-09 21:04,2,No,,340.38,70,B777,4645,70.28,First,Yes,20kg,37.8,N19,T1,15
British Airways,-,-,NBO,LOS,2020-05-26 09:15,2020-05-26 11:50,18,No,,523.69,142,B737,7905,97.37,Business,Yes,23kg,28.62,E6,T3,8
Ethiopian Airlines,,CDG-LAX,JFK,ORD,2020-12-06 16:01,2020-12-07 01:05,,No,,735.56,164,A320,4343,69.18,First,Yes,No,23.82,F50,,8
Lufthansa,7308,FRA-DOH,NBO,CDG,2021-04-19 20:40,2021-04-20 04:26,4.0,No,,253.17,231,A380,10103,75.84,Business,Yes,No,28.04,L29,T4,10
,971,LOS-DOH,LHR,SIN,2025-05-03 09:46,2025-05-03 14:36,72,No,,361.05,27,A350,3566,72.87,Business,No,23kg,31.68,I49,,20
,3195,SIN-ORD,ORD,SIN,2021-05-12 01:07,2021-05-12 13:01,-73,No,,509.98,173,A320,10618,57.49,Economy,No,20kg,26.97,E16,T2,10
Singapore Airlines,2535,CDG-LOS,ORD,IST,2025-10-15 04:21,2025-10-15 08:11,-6,No,,338.43,39,B777,5209,73.49,First,No,23kg,22.08,P2,,14
South African Airways,994,ORD-ATL,DXB,ATL,2023-08-04 14:31,2023-08-05 00:31,-19,No,,678.82,162,A380,12906,100,Business,Yes,20kg,33.93,U1,T3,20
Qatar Airways,3866,ATL-FRA,CDG,NBO,2025-01-26 23:28,2025-01-27 01:03,23,No,,80.44,172,A350,8063,85.16,Business,No,20kg,35.6,W39,T4,13
British Airways,3100,IST-LAX,LOS,AMS,2020-07-16 08:58,2020-07-16 18:42,18,No,,485.6,240,CRJ900,6596,100,Economy,No,,31.46,H31,,8
South African Airways,687,FRA-CDG,DXB,LAX,2023-04-10 10:19,2023-04-10 13:58,79,,,483.64,271,B777,11623,87.73,Business,Yes,2pc,13.82,Q26,T4,11
British Airways,7804,AMS-LOS,JFK,DOH,2023-03-31 15:35,2023-03-31 20:37,93,No,,580.41,68,A350,,88.6,First,No,1pc,24.15,Q15,T1,4
Air France,4363,LOS-AMS,LHR,LOS,2025-01-25 08:39,2025-01-25 11:04,-15,No,,362.41,206,A320,8936,98.76,First,No,2pc,21.56,,,18
Air France,2779,LOS-IST,LAX,IST,2023-12-25 04:19,2023-12-25 14:56,15,No,,528.3,98,A320,9740,100,First,Yes,23kg,47.31,R17,,19
Delta Air Lines,7753,ATL-SIN,SIN,LHR,2024-07-01 21:37,2024-07-02 07:53,22,No,,300.17,274,A350,3677,97.95,First,Yes,23kg,31.18,Z17,T4,13
Lufthansa,7250,DOH-LAX,SIN,LOS,2022-02-20 02:47,2022-02-20 13:20,-16,No,,189.72,278,B777,11919,95.06,Business,No,No,27.2,L35,T1,17
Kenya Airways,2000,DXB-LOS,LOS,DXB,2024-09-14 19:30,2024-09-15 07:15,40,No,,160.56,3,B777,8484,91.98,First,Yes,2pc,24.41,C27,,10
,8208,LHR-ORD,AMS,FRA,2020-02-05 16:05,2020-02-05 17:32,5,No,,61.72,103,A350,7047,88.42,First,Yes,20kg,28.75,J7,,7
Qatar Airways,768,LOS-IST,LHR,FRA,2025-10-14 13:36,2025-10-15 00:55,-27,No,,261.73,85,B777,1535,81.22,Economy,No,2pc,37.52,Q6,,17
British Airways,7333,LAX-DOH,JFK,LOS,2020-12-21 21:35,2020-12-22 07:50,3,No,,412.3,137,B777,6605,94.69,First,No,20kg,11.7,S11,,20
American Airlines,5941,LHR-SIN,LOS,AMS,2025-10-19 00:00,2025-10-19 06:39,-24,No,,308.37,74,B737,10552,70.81,Business,Yes,20kg,32.3,T13,T4,11
American Airlines,9289,SIN-FRA,DXB,LAX,2024-07-26 07:24,2024-07-26 13:54,56,No,,389.59,237,A320,12280,90.57,First,Yes,No,24.95,G19,,11
United Airlines,8049,DXB-IST,ATL,IST,2022-04-08 23:55,2022-04-09 11:34,91,No,,596.98,45,A380,1685,76.13,,No,2pc,,Y5,,12
South African Airways,,CDG-LHR,LOS,SIN,2025-06-14 09:34,2025-06-14 18:59,24,No,,246.5,193,A380,11678,94.57,Economy,Yes,20kg,37.99,O11,T2,9
British Airways,8177,DXB-AMS,ORD,ORD,2022-11-22 21:19,2022-11-23 04:06,19,No,,818.06,56,CRJ900,8825,48.84,Economy,No,No,23.04,Z28,T4,5
British Airways,1943,AMS-DOH,JFK,LAX,2020-12-12 13:55,2020-12-12 22:47,21,No,,501.05,268,,11100,82.99,First,No,2k0g,16.31,P49,T3,7
Delta Air Lines,2525,LOS-CDG,NBO,SIN,2022-06-30 20:57,2022-07-01 01:47,62,No,,310.61,199,A380,8072,65.47,First,No,23kg,26.96,Y1,T4,11
Kenya Airways,2125,LHR-SIN,FRA,IST,2023-09-12 18:26,2023-09-12 22:35,61,,,306.08,82,CRJ900,13391,100,First,No,2pc,42.87,Y39,T2,-
