Flight_id,Airline,Flight_Number,Route,Departure_Airport,Arrival_Airport,Departure_Time,Arrival_Time,FlightDuration_minutes,Delay_Minutes,Early_minutes,Late_Minute,Cancelled,Cancellation_Reason,Passenger_Count,Ticket_Price,Aircraft_Type,Distance_km,On_Time_Percent,Class,Loyalty_Member,Baggage_Allowance,Fuel_Surcharge,Gate,Terminal,Crew_Size
13,Singapore Airlines,1557,SIN - SIN,SIN,SIN,2020-10-18 2:25,2020-10-18 5:35,190,16,0,16,No,,271,527.23,A320,5920,85.84,UNKNOWN,No,2pc,25.4,K9,T4,8
14,Singapore Airlines,7676,AMS - ORD,AMS,ORD,2021-11-10 6:49,2021-11-10 12:57,368,-12,12,0,No,,227,28.88,A350,2432,73.27,Business,No,1pc,26.32,Y7,T1,8
15,Air France,3348,LAX - SIN,LAX,SIN,2021-12-23 20:27,2021-12-24 3:10,403,0,0,0,No,,163,475.93,A380,9784,94.41,Business,No,2pc,17.02,O45,T2,12
16,Singapore Airlines,4389,ATL - LAX,ATL,LAX,2024-04-19 2:01,2024-04-19 11:12,551,18,0,18,No,,224,308.48,B737,4550,100,Economy,Yes,23kg,47.4,K36,T1,14
17,Emirates,2864,ATL - AMS,ATL,AMS,2025-02-13 9:46,2025-02-13 17:39,473,-5,5,0,No,,138,614.26,B737,10610,77.81,Business,No,No,34.74,G2,T4,6
18,Kenya Airways,UNKNOWN,SIN - NBO,SIN,NBO,2020-03-23 10:39,2020-03-23 18:04,445,28,0,28,No,,17,283.60,A350,10467,94.23,Business,Yes,20kg,13.88,Y47,T2,16
19,Ethiopian Airlines,6670,JFK - ORD,JFK,ORD,2024-10-09 17:27,2024-10-09 21:38,251,12,0,12,No,,183,51.91,B777,8534,88.39,Economy,No,No,42.27,W9,T1,6
20,Ethiopian Airlines,7127,LHR - DOH,LHR,DOH,2021-09-09 18:24,2021-09-10 0:00,336,-54,54,0,No,,257,312.39,A350,4888,94.99,Business,Yes,2pc,36.59,UNKNOWN,T2,14
21,Kenya Airways,9936,ORD - SIN,ORD,SIN,2025-07-12 2:53,2025-07-12 6:33,220,28,0,28,No,,95,381.93,A380,4915,UNKNOWN,Economy,Yes,1pc,41.94,M49,T4,17
23,South African Airways,2545,JFK - DOH,JFK,DOH,2023-07-27 9:39,2023-07-27 15:52,373,52,0,52,No,,6,465.02,CRJ900,299,79.11,First,Yes,1pc,25.81,L19,UNKNOWN,11
24,British Airways,6128,NBO - CDG,NBO,CDG,2023-10-27 15:27,2023-10-27 20:39,312,46,0,46,No,,213,97.32,CRJ900,UNKNOWN,100,First,No,No,51.17,C41,T3,17
25,Ethiopian Airlines,2887,LOS - DXB,LOS,DXB,2025-01-04 18:50,2025-01-05 5:10,620,-10,10,0,No,,6,150.07,CRJ900,2137,82.04,First,No,No,24.99,UNKNOWN,UNKNOWN,4
26,Turkish Airlines,9393,IST - CDG,IST,CDG,2022-05-14 7:24,2022-05-14 16:18,534,0,0,0,No,,193,246.85,B737,11495,100,Business,No,23kg,20.45,B44,T1,18
27,Emirates,2022,NBO - LHR,NBO,LHR,2020-01-21 4:34,2020-01-21 6:32,118,63,0,63,No,,224,245.13,B777,11654,UNKNOWN,Economy,No,23kg,23.53,G17,T1,5
28,South African Airways,331,DOH - NBO,DOH,NBO,2021-05-11 1:03,2021-05-11 10:33,570,4,0,4,No,,250,831.22,A320,5301,100,Economy,No,1pc,26.75,H4,T3,8
29,Emirates,7229,FRA - CDG,FRA,CDG,2022-11-23 2:55,2022-11-23 7:04,249,41,0,41,No,,246,487.34,A320,777,81.99,Business,No,1pc,32.77,D21,T3,12
30,United Airlines,2041,SIN - LHR,SIN,LHR,2021-10-30 22:57,2021-10-31 4:00,303,-64,64,0,No,,136,411.00,CRJ900,12409,100,Business,No,20kg,28.2,J12,T3,4
31,Kenya Airways,3777,FRA - LHR,FRA,LHR,2022-11-11 18:18,2022-11-12 3:42,564,-9,9,0,No,,241,382.66,A380,6518,100,Business,UNKNOWN,23kg,19.57,M23,T3,10
32,American Airlines,3428,LOS - NBO,LOS,NBO,2020-11-13 13:21,2020-11-13 16:31,190,42,0,42,No,,89,358.02,CRJ900,3673,100,Business,Yes,23kg,45.94,Q2,T3,4
33,United Airlines,4461,ATL - FRA,ATL,FRA,2023-03-26 9:25,2023-03-26 21:11,706,14,0,14,No,,165,276.17,B777,UNKNOWN,100,Business,Yes,20kg,40.82,G36,UNKNOWN,9
34,Ethiopian Airlines,4817,LOS - SIN,LOS,SIN,2020-10-27 11:41,2020-10-27 13:01,80,0,0,0,No,,174,301.94,CRJ900,8103,100,Business,Yes,2pc,39.25,J42,T1,7
35,British Airways,8196,ORD - DXB,ORD,DXB,2023-01-20 7:26,2023-01-20 11:12,226,0,0,0,No,,238,200.21,B777,861,85.75,First,No,No,22.9,J40,T3,4
36,American Airlines,6359,IST - LOS,IST,LOS,2022-12-04 15:11,2022-12-04 20:44,333,-62,62,0,No,,32,238.78,CRJ900,7202,88.65,First,UNKNOWN,1pc,32.65,T37,T1,7
37,KLM,2233,ATL - AMS,ATL,AMS,2025-02-18 17:04,2025-02-19 0:31,447,0,0,0,No,,96,410.15,CRJ900,10085,85.13,Economy,No,1pc,40.87,Q47,T3,18
38,Delta Airlines,7166,LOS - JFK,LOS,JFK,2022-04-01 20:06,2022-04-02 7:06,660,41,0,41,Yes,,207,503.52,B777,5686,89.9,First,No,23kg,39.44,B36,T3,10
39,KLM,3485,SIN - JFK,SIN,JFK,2020-05-14 23:53,2020-05-15 6:08,375,-79,79,0,No,,144,409.85,A350,10829,95.35,Business,No,23kg,31.57,J46,T3,17
40,Lufthansa,9931,SIN - DXB,SIN,DXB,2023-11-28 9:12,2023-11-28 10:25,73,25,0,25,No,,295,498.49,A320,1935,100,Economy,No,UNKNOWN,49.75,A5,T4,12
41,British Airways,3631,FRA - ORD,FRA,ORD,2024-07-24 0:03,2024-07-24 5:04,301,-32,32,0,No,,212,502.02,A350,14171,99.51,Business,Yes,23kg,35.33,I22,T2,16
42,Lufthansa,4736,SIN - JFK,SIN,JFK,2021-01-22 19:42,2021-01-23 2:27,405,39,0,39,No,,244,290.06,CRJ900,1275,94.34,Economy,No,1pc,43.22,X23,UNKNOWN,17
43,United Airlines,3202,AMS - IST,AMS,IST,2023-03-22 1:34,2023-03-22 11:58,624,43,0,43,No,,132,455.06,UNKNOWN,8761,100,Business,No,2pc,32,V50,T1,14
45,Turkish Airlines,3055,FRA - LHR,FRA,LHR,2024-09-11 3:07,2024-09-11 5:38,151,8,0,8,No,,48,273.13,B777,9875,95.58,Economy,Yes,23kg,39.69,N50,T1,9
46,Singapore Airlines,6793,DXB - SIN,DXB,SIN,2022-06-29 20:57,2022-06-30 4:03,426,-17,17,0,No,,158,249.63,CRJ900,6653,100,First,Yes,1pc,37.34,T47,T4,5
47,Lufthansa,2491,LOS - FRA,LOS,FRA,2025-05-07 2:46,2025-05-07 11:20,514,-38,38,0,No,,161,656.27,CRJ900,10822,95.14,Business,Yes,1pc,33.46,Z5,T2,13
48,Delta Airlines,571,LOS - LHR,LOS,LHR,2025-04-05 16:10,2025-04-06 0:17,487,82,0,82,No,,117,417.42,A350,2176,79.97,Business,No,20kg,21.54,H26,T1,17
49,Air France,4389,IST - AMS,IST,AMS,2024-11-28 18:29,2024-11-28 20:03,94,0,0,0,No,,182,468.92,CRJ900,8962,67.33,Business,No,No,22.07,V4,UNKNOWN,16
50,Ethiopian Airlines,3958,JFK - LAX,JFK,LAX,2021-08-20 10:04,2021-08-20 14:29,265,77,0,77,No,,90,531.96,A320,10766,100,First,Yes,2pc,37.77,F13,UNKNOWN,6
51,United Airlines,7488,DXB - IST,DXB,IST,2020-08-04 2:24,2020-08-04 4:44,140,-19,19,0,No,,181,332.07,A380,7423,96.31,First,No,No,19.03,A17,T1,11
53,United Airlines,6156,ATL - AMS,ATL,AMS,2025-08-16 11:22,2025-08-16 18:49,447,-30,30,0,No,,153,149.14,CRJ900,14530,100,Economy,Yes,23kg,32.92,P47,T3,16
54,Qatar Airways,9650,ORD - IST,ORD,IST,2021-12-09 1:19,2021-12-09 2:20,61,35,0,35,No,,152,189.86,A380,6163,100,First,Yes,2pc,35.79,M43,T3,4
55,Turkish Airlines,7606,CDG - AMS,CDG,AMS,2022-06-18 2:19,2022-06-18 9:48,449,1,0,1,No,,265,114.27,A320,10930,99.24,Business,Yes,2pc,32.17,Z50,T1,20
56,Delta Airlines,1504,LAX - FRA,LAX,FRA,2020-09-04 21:43,2020-09-05 8:08,625,2,0,2,No,,272,379.81,CRJ900,10306,59.34,First,No,2pc,24.73,A25,T2,19
57,South African Airways,269,ATL - LHR,ATL,LHR,2021-12-24 6:08,2021-12-24 8:53,165,39,0,39,No,,74,656.43,UNKNOWN,5905,100,Business,No,23kg,41.13,Q18,T2,16
58,Turkish Airlines,2282,ORD - JFK,ORD,JFK,2023-03-27 0:15,2023-03-27 7:56,461,-42,42,0,No,,71,179.26,A380,9438,90.42,First,UNKNOWN,1pc,31.93,F50,T3,4
59,Singapore Airlines,5396,ORD - LOS,ORD,LOS,2022-05-13 15:12,2022-05-14 1:27,615,45,0,45,No,,214,367.72,B737,4777,100,First,No,23kg,28.42,L31,T1,UNKNOWN
60,Kenya Airways,UNKNOWN,CDG - SIN,CDG,SIN,2023-11-09 16:43,2023-11-09 20:24,221,-30,30,0,No,,293,251.54,CRJ900,2879,48,Economy,Yes,No,22.77,Y49,T2,13
61,Lufthansa,3576,ORD - FRA,ORD,FRA,2025-05-29 0:04,2025-05-29 4:25,261,35,0,35,No,,24,240.16,A350,3119,87.08,Economy,No,2pc,41.27,B30,T2,20
62,Air France,6383,JFK - JFK,JFK,JFK,2023-02-07 11:51,2023-02-07 17:20,329,53,0,53,No,,57,265.71,CRJ900,9618,84.36,Economy,Yes,20kg,23.57,W2,UNKNOWN,UNKNOWN
63,South African Airways,7035,CDG - ORD,CDG,ORD,2021-05-20 8:22,2021-05-20 13:52,330,0,0,0,No,,266,612.96,B737,8793,81.98,Economy,No,No,46.97,S49,T2,15
64,Turkish Airlines,9884,NBO - CDG,NBO,CDG,2023-02-24 2:41,2023-02-24 11:16,515,62,0,62,No,,187,573.23,B777,UNKNOWN,83.15,Economy,Yes,No,21.75,R22,T4,19
65,British Airways,4298,DXB - IST,DXB,IST,2023-01-08 18:54,2023-01-09 3:35,521,34,0,34,No,,53,354.69,A320,UNKNOWN,57.72,First,NO,No,33.23,H46,T3,11
66,Qatar Airways,1296,SIN - LOS,SIN,LOS,2021-10-12 21:58,2021-10-13 3:09,311,-12,12,0,No,,52,680.90,B737,3328,63.21,First,Yes,1pc,30.7,T41,UNKNOWN,4
67,American Airlines,1661,JFK - DOH,JFK,DOH,2025-09-13 3:52,2025-09-13 9:47,355,71,0,71,No,,57,451.81,B777,4232,100,Business,Yes,23kg,28.87,E13,T2,6
68,South African Airways,9225,DXB - DXB,DXB,DXB,2022-04-09 11:18,2022-04-09 17:55,397,-30,30,0,No,,161,580.78,CRJ900,14691,59.72,Business,Yes,2pc,36.82,T32,UNKNOWN,9
69,Qatar Airways,953,IST - ORD,IST,ORD,2025-07-06 9:01,2025-07-06 13:37,276,6,0,6,No,,243,219.26,A380,2686,85.17,Economy,No,2pc,35.36,L9,T2,16
70,British Airways,5553,ATL - LOS,ATL,LOS,2020-08-09 20:09,2020-08-10 0:16,247,0,0,0,No,,127,217.12,UNKNOWN,4931,100,Business,Yes,No,19.36,H12,UNKNOWN,8
71,Emirates,3947,SIN - FRA,SIN,FRA,2025-03-07 12:05,2025-03-07 19:24,439,39,0,39,No,,118,332.66,A320,1454,74.45,Economy,No,2pc,18.29,B50,UNKNOWN,16
72,United Airlines,7815,LAX - LOS,LAX,LOS,2025-05-26 19:24,2025-05-27 4:36,552,59,0,59,No,,278,361.98,A350,10292,94.61,Business,No,1pc,17.69,U21,UNKNOWN,4
73,British Airways,5904,NBO - CDG,NBO,CDG,2021-06-15 17:01,2021-06-15 18:41,100,57,0,57,No,,176,414.84,A320,11140,100,First,UNKNOWN,2pc,27.56,P20,T1,19
74,American Airlines,9901,LOS - LHR,LOS,LHR,2024-07-17 12:21,2024-07-17 15:57,216,23,0,23,NO,,38,744.62,A350,10268,72.17,UNKNOWN,Yes,1pc,51.15,Q26,T1,16
75,South African Airways,845,IST - IST,IST,IST,2022-01-30 14:25,2022-01-30 15:39,74,3,0,3,No,,163,494.26,A350,7740,68.46,First,Yes,1pc,29.51,O21,UNKNOWN,13
76,British Airways,187,IST - LOS,IST,LOS,2021-05-22 16:10,2021-05-22 18:14,124,-58,58,0,No,,235,247.04,B777,14079,67.95,First,No,1pc,51.01,C17,T1,18
77,British Airways,UNKNOWN,DOH - LAX,DOH,LAX,2022-04-18 16:46,2022-04-18 19:54,188,-58,58,0,No,,215,506.38,A320,11976,94.51,First,Yes,23kg,35.96,H23,T2,UNKNOWN
78,KLM,6566,CDG - DXB,CDG,DXB,2024-09-26 9:10,2024-09-26 18:01,531,60,0,60,No,,18,523.46,CRJ900,1526,80.63,First,No,1pc,32.27,F2,T1,6
79,American Airlines,6176,FRA - LAX,FRA,LAX,2021-11-13 7:41,2021-11-13 9:43,122,23,0,23,No,,188,207.67,CRJ900,8716,86.23,Business,No,20kg,12.97,Y44,T4,4
80,Qatar Airways,2266,AMS - FRA,AMS,FRA,2025-10-28 0:32,2025-10-28 3:50,198,52,0,52,No,,30,210.59,B777,295,89.87,Business,Yes,23kg,21.11,Y37,T2,8
81,Emirates,9267,LAX - CDG,LAX,CDG,2022-10-04 12:16,2022-10-04 21:34,558,36,0,36,No,,211,269.60,B737,14302,90.2,Business,No,1pc,13.18,J31,T4,14
82,Emirates,773,JFK - AMS,JFK,AMS,2020-06-22 19:02,2020-06-23 5:54,652,73,0,73,No,,272,137.34,CRJ900,1968,UNKNOWN,Economy,No,2pc,37.25,Y35,T1,6
83,Qatar Airways,3038,NBO - SIN,NBO,SIN,2020-04-09 17:34,2020-04-10 1:32,478,41,0,41,No,,278,412.48,A350,11563,95.44,Business,Yes,No,44.12,Q6,T1,15
85,Emirates,8174,NBO - LHR,NBO,LHR,2020-07-24 15:22,2020-07-24 20:12,290,0,0,0,No,,34,511.12,CRJ900,13041,87.85,First,UNKNOWN,1pc,18.77,T36,T2,14
86,Turkish Airlines,7769,NBO - DOH,NBO,DOH,2024-10-28 4:00,2024-10-28 5:27,87,50,0,50,No,,114,358.96,B777,5025,77.5,Economy,No,20kg,40.64,D50,T3,5
87,British Airways,2216,ORD - LHR,ORD,LHR,2022-09-04 16:05,2022-09-04 19:19,194,51,0,51,No,,132,602.77,B737,13600,76.07,Economy,No,2pc,51.15,U46,T2,18
88,Air France,1568,DXB - AMS,DXB,AMS,2021-10-22 14:35,2021-10-22 18:55,260,82,0,82,No,,222,148.01,A350,3373,89.66,Business,Yes,2pc,35.08,L29,T3,UNKNOWN
89,British Airways,5298,NBO - AMS,NBO,AMS,2025-07-29 9:02,2025-07-29 10:34,92,79,0,79,No,,165,204.25,B777,6409,89.21,First,No,No,16.84,Z29,T1,14
90,Singapore Airlines,8790,LAX - ORD,LAX,ORD,2024-03-31 1:22,2024-03-31 3:09,107,51,0,51,No,,30,180.70,A380,1045,76.59,First,Yes,No,20.28,Y50,UNKNOWN,11
91,South African Airways,7193,FRA - DOH,FRA,DOH,2023-05-14 4:27,2023-05-14 13:49,562,-53,53,0,No,,90,52.58,A380,13795,100,First,Yes,No,15.12,UNKNOWN,T2,6
92,Delta Airlines,4366,AMS - LAX,AMS,LAX,2023-11-26 14:28,2023-11-27 1:01,633,51,0,51,No,,163,245.43,CRJ900,9137,96.97,Economy,UNKNOWN,23kg,27.23,B29,T1,11
93,American Airlines,2014,LAX - LOS,LAX,LOS,2021-03-19 21:16,2021-03-19 23:54,158,0,0,0,No,,260,203.42,A350,10419,85.68,Business,Yes,1pc,28.63,UNKNOWN,T3,19
94,Kenya Airways,5232,ATL - ATL,ATL,ATL,2022-04-02 22:53,2022-04-03 8:59,606,44,0,44,No,,219,167.31,B737,241,61.19,First,Yes,23kg,19.27,M22,T1,16
95,Qatar Airways,823,LHR - ORD,LHR,ORD,2021-03-09 19:35,2021-03-10 6:47,672,-26,26,0,No,,26,346.45,B737,14389,89.28,Business,Yes,23kg,18.26,Q29,T4,15
96,Air France,2195,CDG - DOH,CDG,DOH,2022-02-05 5:52,2022-02-05 14:33,521,39,0,39,No,,127,190.29,A320,9917,60,Economy,YES,No,30.94,N8,T4,5
97,Emirates,8279,ORD - FRA,ORD,FRA,2024-10-10 2:38,2024-10-10 14:20,702,-37,37,0,No,,153,394.31,B777,8715,82.27,Business,Yes,23kg,34.84,Q28,T1,8
98,Turkish Airlines,6007,ORD - DOH,ORD,DOH,2022-03-27 7:26,2022-03-27 12:03,277,43,0,43,No,,192,291.08,B737,10089,72.79,Economy,Yes,No,34.74,I13,T2,14
99,Delta Airlines,4412,DOH - LAX,DOH,LAX,2024-12-17 23:22,2024-12-18 6:54,452,3,0,3,No,,105,344.23,CRJ900,1827,100,Economy,No,No,45.76,UNKNOWN,T3,13
100,Kenya Airways,4421,FRA - LOS,FRA,LOS,2023-05-25 21:27,2023-05-26 1:53,266,-69,69,0,No,,276,616.03,A320,UNKNOWN,100,Economy,No,20kg,37.02,T23,T2,4
101,Qatar Airways,8570,LHR - JFK,LHR,JFK,2023-01-29 16:24,2023-01-29 17:38,74,6,0,6,No,,295,413.65,A350,3859,81.7,Business,No,20kg,39.56,G13,T4,19
102,KLM,5228,ATL - IST,ATL,IST,2021-11-12 9:44,2021-11-12 19:57,613,36,0,36,No,,77,569.12,CRJ900,11414,UNKNOWN,Economy,Yes,20kg,19.79,X16,UNKNOWN,12
103,South African Airways,7239,CDG - ORD,CDG,ORD,2021-03-05 18:45,2021-03-06 3:25,520,2,0,2,No,,125,472.10,A380,7009,60.81,Business,No,No,37.87,M21,T4,5
104,American Airlines,2803,ORD - FRA,ORD,FRA,2024-05-02 1:02,2024-05-02 11:36,634,14,0,14,No,,153,86.32,B777,9595,100,Business,Yes,2pc,39.02,B20,T2,6
106,Lufthansa,8149,LOS - DOH,LOS,DOH,2020-10-09 10:41,2020-10-09 21:04,623,2,0,2,No,,70,340.38,B777,4645,70.28,First,Yes,20kg,37.8,N19,T1,15
107,British Airways,UNKNOWN,NBO - LOS,NBO,LOS,2020-05-26 9:15,2020-05-26 11:50,155,18,0,18,No,,142,523.69,B737,7905,97.37,Business,Yes,23kg,28.62,E6,T3,8
108,Ethiopian Airlines,UNKNOWN,JFK - ORD,JFK,ORD,2020-12-06 16:01,2020-12-07 1:05,544,0,0,0,No,,164,735.56,A320,4343,69.18,First,Yes,No,23.82,F50,UNKNOWN,8
109,Lufthansa,7308,NBO - CDG,NBO,CDG,2021-04-19 20:40,2021-04-20 4:26,466,4,0,4,No,,231,253.17,A380,10103,75.84,Business,Yes,No,28.04,L29,T4,10
110,Singapore Airlines,2535,ORD - IST,ORD,IST,2025-10-15 4:21,2025-10-15 8:11,230,-6,6,0,No,,39,338.43,B777,5209,73.49,First,No,23kg,22.08,P2,UNKNOWN,14
111,South African Airways,994,DXB - ATL,DXB,ATL,2023-08-04 14:31,2023-08-05 0:31,600,-19,19,0,No,,162,678.82,A380,12906,100,Business,Yes,20kg,33.93,U1,T3,20
112,Qatar Airways,3866,CDG - NBO,CDG,NBO,2025-01-26 23:28,2025-01-27 1:03,95,23,0,23,No,,172,80.44,A350,8063,85.16,Business,No,20kg,35.6,W39,T4,13
113,British Airways,3100,LOS - AMS,LOS,AMS,2020-07-16 8:58,2020-07-16 18:42,584,18,0,18,No,,240,485.60,CRJ900,6596,100,Economy,No,UNKNOWN,31.46,H31,UNKNOWN,8
114,South African Airways,687,DXB - LAX,DXB,LAX,2023-04-10 10:19,2023-04-10 13:58,219,79,0,79,No,,271,483.64,B777,11623,87.73,Business,Yes,2pc,13.82,Q26,T4,11
115,British Airways,7804,JFK - DOH,JFK,DOH,2023-03-31 15:35,2023-03-31 20:37,302,93,0,93,No,,68,580.41,A350,UNKNOWN,88.6,First,No,1pc,24.15,Q15,T1,4
116,Air France,4363,LHR - LOS,LHR,LOS,2025-01-25 8:39,2025-01-25 11:04,145,-15,15,0,No,,206,362.41,A320,8936,98.76,First,No,2pc,21.56,UNKNOWN,UNKNOWN,18
117,Air France,2779,LAX - IST,LAX,IST,2023-12-25 4:19,2023-12-25 14:56,637,15,0,15,No,,98,528.30,A320,9740,100,First,Yes,23kg,47.31,R17,UNKNOWN,19
118,Delta Airlines,7753,SIN - LHR,SIN,LHR,2024-07-01 21:37,2024-07-02 7:53,616,22,0,22,No,,274,300.17,A350,3677,97.95,First,Yes,23kg,31.18,Z17,T4,13
119,Lufthansa,7250,SIN - LOS,SIN,LOS,2022-02-20 2:47,2022-02-20 13:20,633,-16,16,0,No,,278,189.72,B777,11919,95.06,Business,No,No,27.2,L35,T1,17
120,Kenya Airways,2000,LOS - DXB,LOS,DXB,2024-09-14 19:30,2024-09-15 7:15,705,40,0,40,No,,3,160.56,B777,8484,91.98,First,Yes,2pc,24.41,C27,UNKNOWN,10
121,Qatar Airways,768,LHR - FRA,LHR,FRA,2025-10-14 13:36,2025-10-15 0:55,679,-27,27,0,No,,85,261.73,B777,1535,81.22,Economy,No,2pc,37.52,Q6,UNKNOWN,17
122,British Airways,7333,JFK - LOS,JFK,LOS,2020-12-21 21:35,2020-12-22 7:50,615,3,0,3,No,,137,412.30,B777,6605,94.69,First,No,20kg,11.7,S11,UNKNOWN,20
123,American Airlines,5941,LOS - AMS,LOS,AMS,2025-10-19 0:00,2025-10-19 6:39,399,-24,24,0,No,,74,308.37,B737,10552,70.81,Business,Yes,20kg,32.3,T13,T4,11
124,American Airlines,9289,DXB - LAX,DXB,LAX,2024-07-26 7:24,2024-07-26 13:54,390,56,0,56,No,,237,389.59,A320,12280,90.57,First,Yes,No,24.95,G19,UNKNOWN,11
125,United Airlines,8049,ATL - IST,ATL,IST,2022-04-08 23:55,2022-04-09 11:34,699,91,0,91,No,,45,596.98,A380,1685,76.13,UNKNOWN,No,2pc,UNKNOWN,Y5,UNKNOWN,12
126,South African Airways,UNKNOWN,LOS - SIN,LOS,SIN,2025-06-14 9:34,2025-06-14 18:59,565,24,0,24,No,,193,246.50,A380,11678,94.57,Economy,Yes,20kg,37.99,O11,T2,9
127,British Airways,8177,ORD - ORD,ORD,ORD,2022-11-22 21:19,2022-11-23 4:06,407,19,0,19,No,,56,818.06,CRJ900,8825,48.84,Economy,No,No,23.04,Z28,T4,5
128,British Airways,1943,JFK - LAX,JFK,LAX,2020-12-12 13:55,2020-12-12 22:47,532,21,0,21,No,,268,501.05,UNKNOWN,11100,82.99,First,No,2k0g,16.31,P49,T3,7
129,Delta Airlines,2525,NBO - SIN,NBO,SIN,2022-06-30 20:57,2022-07-01 1:47,290,62,0,62,No,,199,310.61,A380,8072,65.47,First,No,23kg,26.96,Y1,T4,11
130,Kenya Airways,2125,FRA - IST,FRA,IST,2023-09-12 18:26,2023-09-12 22:35,249,61,0,61,No,,82,306.08,CRJ900,13391,100,First,No,2pc,42.87,Y39,T2,UNKNOWN
131,American Airlines,5827,ORD - LOS,ORD,LOS,2021-05-06 9:05,2021-05-06 13:49,284,10,0,10,NO,,261,148.37,A350,7726,96.71,Business,Yes,1pc,38.36,UNKNOWN,T2,15
132,Emirates,1633,IST - LOS,IST,LOS,2023-11-10 16:05,2023-11-10 23:29,444,25,0,25,No,,193,344.86,B777,6476,93.78,First,UNKNOWN,20kg,26.22,V29,T1,11
133,Kenya Airways,4754,NBO - FRA,NBO,FRA,2022-03-29 7:42,2022-03-29 13:24,342,-30,30,0,No,,236,601.15,CRJ900,12114,93.19,First,Yes,No,24.41,N14,T2,15
134,South African Airways,3059,ORD - FRA,ORD,FRA,2024-04-04 6:24,2024-04-04 17:56,692,63,0,63,No,,128,213.32,B737,5383,100,Business,Yes,1pc,17.02,P36,T1,10
135,Emirates,2857,ATL - NBO,ATL,NBO,2021-07-09 1:14,2021-07-09 12:41,687,84,0,84,No,,246,358.35,A350,8777,70.49,Business,Yes,No,37.85,E34,T1,6
136,Singapore Airlines,8435,CDG - IST,CDG,IST,2024-04-26 7:29,2024-04-26 12:47,318,61,0,61,No,,213,121.20,A350,11241,89.12,First,Yes,20kg,39.67,O8,T1,16
137,Kenya Airways,4569,CDG - DXB,CDG,DXB,2020-11-26 14:33,2020-11-26 21:31,418,-34,34,0,No,,92,209.76,CRJ900,1113,93.27,First,Yes,1pc,26.13,O7,T3,UNKNOWN
138,KLM,9328,ORD - FRA,ORD,FRA,2025-04-26 17:45,2025-04-27 2:20,515,-63,63,0,No,,110,235.57,A350,9041,99.15,Business,Yes,20kg,-,M32,T2,9
141,Emirates,9660,LOS - AMS,LOS,AMS,2024-04-26 6:05,2024-04-26 12:22,377,26,0,26,No,,107,532.85,A350,1531,78.18,First,Yes,20kg,22.65,Y24,T3,15
